"county_index","target_cancer","AGE65","BROAD","CROWD","HCOST","NOHSDP","POV150","REMNRTY","SNGPNT","UNEMP","No_Vehicle_10_Miles","No_Vehicle_1_Mile","No_Vehicle_Half_Mile"
"6113","5.8","12.5","9.4","6.4","29.7","12.4","24.7","54.8","5.8","5.6","0.07468297078900069","0.1628088763200215","0.8264915433982744"
"28007","6","19","24.7","2.3","26.5","18.8","36.5","47.1","8.9","7.4","0.18401144960130852","2.1876916785933345","3.3888775301574317"
"37105","6","16.4","24.1","3.6","24.5","14.4","25.5","42.6","8.9","5.2","0","0.834687035564926","1.8300902084125392"
"13083","6.3","19.1","17.5","2.8","17.6","17.2","23","7.3","4.1","4.7","0","1.9118619611615464","2.2725906330788193"
"49053","6.4","21.4","11.1","4","26.5","6.3","18.3","16.8","3.9","3.2","0.004344205915360388","0.3627411939325924","0.8992506244796004"
"53023","6.5","27.8","18.4","2.5","16.4","6","16.9","8.7","2","11","0.088261253309797","0.3089143865842895","0.5736981465136806"
"1003","6.3","20.6","12.1","1.5","22.9","9","17.4","17.4","4","3.7","0.01755685403121828","0.9069212410501194","1.194963377499794"
"21221","6.4","22.5","23.4","3.3","21.7","11.1","25.1","12.6","5.1","4.9","0.22316758490829205","1.6598089127554223","2.0154822512030126"
"26021","6.3","19.8","19.7","1.5","26","9.2","25.9","25.9","7.3","6.4","0","1.644634054574557","2.4723715508280564"
"8039","6.4","16.7","7","1","17","3.7","10.9","14.6","2.2","2","0.2555661439833665","0.6107597678246557","0.6324179156198562"
"19119","6.4","18.2","12.7","1.2","14","6.3","12","5","2.7","2.9","0.043174164579915374","0.5526293066229169","0.7512304636905276"
"46061","6.4","15.7","12.5","0.2","13.7","4.8","13.9","3.5","4.2","2.3","0.15010507355148606","0.2701891323926749","0.2701891323926749"
"40045","6.4","23.2","21.4","1.1","16.4","12.2","25.7","14.3","5.5","7.3","0.3854492893278728","1.0599855456516503","1.469525415562515"
"29075","6.5","19.1","24.3","2","21.3","14","28.3","4.6","4","3.8","0.4749183734045711","1.2466607301869992","1.7067379044226771"
"13243","5.7","20.5","24.2","2.9","32.5","21","53.5","69.1","12.6","9.6","0.4016064257028112","4.314030314807617","6.697758777043658"
"13283","5.9","19","30.5","1.3","31.2","24.8","43.6","29.8","5.1","8.4","0.04357298474945533","1.597676107480029","2.454611474219317"
"9007","6.4","20.5","11.3","0.8","26","5","11.1","17.8","5.1","4.7","0","0.665757261160337","1.5789854897510804"
"2068","6.2","11.8","16","3.2","16.6","1.6","22.6","20.3","2.1","2.6","1.3691128148959473","1.3691128148959473","1.3691128148959473"
"48389","5","12.2","31.5","5.5","17.5","29.5","33.5","77.4","8.5","6.5","0.09431908873249656","0.5006167017340202","1.182616266415149"
"40147","6.4","19.4","17.9","1","22.3","9.5","25.7","28.6","6.7","4.5","0.02157878217200251","0.5669334588826115","1.3692718141870686"
"31083","6.3","24.4","18.3","3.8","18.5","7.1","13.1","5.6","5","2.2","0","0.408997955010225","0.46742623429739993"
"6039","5.6","13.9","12.8","11.1","32.2","28.2","30","67.6","7.2","10.5","0.0006628442647399993","0.6270506744440394","0.974381069167799"
"48125","6","24.9","18","1.1","22.5","16.2","29.7","36.8","7.9","8.9","0.16366612111292964","0.613747954173486","1.1865793780687397"
"53057","6.2","20.8","9","4.3","26.1","8.9","17.1","27.3","5.4","4.8","0.03849411040110863","0.6107732183642569","1.1616667094379005"
"51133","6.2","38.8","20.5","0.5","20.6","9.6","21.6","31.7","4.3","7.3","0.12165450121654502","1.5409570154095702","1.638280616382806"
"37169","6.3","20.9","21.5","2.8","22.8","13.7","24.8","9.6","6.3","5.4","0.04852218307630641","1.040062445939959","1.2700154005189763"
"29161","6.6","16.1","13","1.7","27","9.4","29.7","13","7.5","5","0.10629816635663034","1.0430507573744352","2.055097882894853"
"48477","6.1","21.6","19.7","3.6","23.2","10.9","20.2","37.3","5","4.8","0.06821282401091405","0.9312533364968267","1.488819028412124"
"36069","6.4","20.1","11.9","1.3","23.1","6.7","15.7","10.9","5.6","4","0","1.3758790338271674","2.249585383254116"
"53001","5.8","11.2","16.6","11.8","26.6","31.5","34","67.4","8.5","7.4","0.08009397693293464","0.7368645877829988","1.148013669372063"
"30105","6.4","22.5","19.9","1.3","18.3","7","23.3","15.4","3.6","4.2","0.25783688424480933","0.35282942054552857","0.6513773917763604"
"21161","6.4","18.3","19.9","1.3","19.5","13.9","29.8","11.6","8.7","3.7","0.04002287021154946","1.949685534591195","2.6472269868496285"
"30011","6.4","28.7","19.9","1.6","24.4","7.7","25.5","3.9","1.9","3","1.7241379310344827","1.7241379310344827","1.7241379310344827"
"51580","6.3","19.2","17.1","0.4","18","11","29.9","19.5","10.7","3.4","0","0.9897668176480457","2.432477772185875"
"38041","6.5","23.7","20.2","0","17.6","11.3","15.9","7.8","4.9","3.7","0.6459426725878078","0.6459426725878078","0.6459426725878078"
"55097","6.4","16.8","10.9","1.1","21.5","5.2","17.8","9.8","4.6","3.4","0.04713006469672518","0.8583384509918737","1.6609777346148904"
"8093","6.4","21.1","10.2","0.3","19.7","2.5","13","12","2.2","4.4","0.549179316302604","0.8515364679748241","0.8577070220905838"
"54037","6.2","16.2","10.6","1.9","20.3","9.6","15.7","18","4.6","5.7","0","0.7738607050730868","1.0729373060675165"
"24027","6","13.9","4.4","1.5","17.8","4.6","8.9","50.3","6","3.8","0","0.17904105055993869","0.8300677499695212"
"6093","6.3","25.5","17.2","3.5","31.2","10.1","26.9","25.2","4.4","7.9","0.30066815144766146","1.2583518930957684","2.048997772828508"
"13131","5.9","18.3","22.3","3.9","30.7","20.3","29.9","42.1","8","2.7","0.05197713006277238","0.81963935868218","1.3873895485986167"
"1013","6","20.8","23.7","0.5","20.5","14.4","30.8","49.1","5.4","6.5","0.10980092614694227","1.561082732610875","2.5874826944192484"
"8007","6.3","26.1","13.4","2.9","33","6","20.4","24.2","2.4","4.7","0.04965243296921549","0.43032108573320094","0.4799735187024164"
"1121","6.2","17.8","19.1","1.4","24.1","17.1","31.4","37.9","8.9","7.9","0","1.779052387259846","2.7111105710223473"
"5011","6","18","27","1.9","23.3","15.9","30.4","45.1","7.7","5.4","0.7212374000695169","1.7639902676399026","2.6416405978449773"
